Latitude,Longitude,ciudad_o_pais
,,
-2.38,147.35,St. Andrew Strait
-2.57,147.28,Baluan
-3.03,147.78,Central Bismarck Sea
33.95,67.92,Dacht-I-Navar Group
34.25,67.97,Vakak Group
-1.506,29.45,Karisimbi
-0.93,29.33,May-ya-moto
-1.408,29.2,Nyamulagira
-1.52,29.25,Nyiragongo
-2.32,28.75,Tshibinda
-1.458,29.485,Visoke
-1.304,29.683,Bufumbira
-0.2,30.08,Bunyaruguru
0.7,30.25,Fort Portal
-0.471,30.191,Katunga
-0.08,29.92,Katwe-Kikorongo
0.45,30.25,Kyatwa
-1.383,29.678,Muhavura
2.32,36.57,"Barrier, The"
-2.68,37.88,Chyulu Hills
-0.65,36.22,"Eburru, Ol Doinyo"
-0.546,36.249,Elmenteita Badlands
1.5,36.33,Emuruangogolak
-0.38,34.5,Homa Mountain
0.77,36.12,Korosi
3.496,36.04,Lake Turkana Central Island
4.063,36.046,Lake Turkana North Island
2.636,36.596,Lake Turkana South Island
-0.914,36.446,Longonot
2.32,37.97,Marsabit
3.971,38.213,Mega Volcanic Field
-0.2,36.07,Menengai
1.98,36.43,Namarunu
0.23,37.87,Nyambeni Hills
0.62,36.075,Ol Kokwe
-0.904,36.292,Olkaria
0.92,36.18,Paka
1.57,37.9,Segererua Plateau
1.15,36.23,Silali
-1.151,36.357,Suswa
-4.889,31.933,Igwisi Hills
-8.93,33.4,Izumbwe-Mpoli
-3.07,37.35,Kilimanjaro
-9.229,33.792,Kyejo
-2.764,35.914,"Lengai, Ol Doinyo"
-3.244,36.75,Meru
-9.004,33.552,Ngozi
-9.135,33.668,Rungwe
-8.75,33.8,SW Usangu Basin
-8.63,33.57,Unnamed
23.33,5.83,Atakor Volcanic Field
23.0,10.833,In Ezzane Volc Field
23.92,5.83,Manzaz Volcanic Field
22.67,5.0,Tahalra Volcanic Field
19.8,18.53,"Koussi, Emi"
17.68,8.5,Todra Volcanic Field
21.33,16.33,"Toh, Tarso"
21.03,16.45,"Tousside, Tarso"
20.92,17.28,"Voon, Tarso"
27.25,17.5,Haruj
25.05,17.55,Wau-en-Namus
19.83,2.83,Tin Zaouatene Volcanic Field
18.33,32.75,Bayuda Volcanic Field
14.57,25.85,Kutum Volcanic Field
12.95,24.27,"Marra, Jebel"
15.32,26.47,Meidob Volcanic Field
18.17,33.83,"Umm Arafieb, Jebel"
11.58,42.47,Ardoukoba
12.469,42.404,Mousa Alli
14.88,39.92,Alid
12.95,42.43,Assab Volcanic Field
13.579,41.809,Dubbi
12.55,42.53,Gufa
15.042,39.82,Jalua
13.37,41.7,Nabro
10.063,40.831,Adwa
13.088,40.853,Afdera
12.888,40.573,Alayta
13.512,40.631,Ale Bagu
13.793,40.553,Alu-Dalafilla
7.77,38.78,Aluto
13.098,41.599,Asavyo
10.082,40.702,Ayelu
8.95,39.75,Beru
7.07,38.1,Bilate River Field
8.78,38.98,Bishoftu Volcanic Field
13.725,40.6,Bora Ale
8.221,39.05,Bora-Bericcio
8.211,39.081,Bora-Bericha-Tullu Moye
13.304,40.987,Borawli
11.63,41.45,Borawli Complex
8.558,39.475,Boset
8.05,38.35,Butajiri-Silti Field
6.65,38.12,Chiracha
